Region,Date,Estimated Unemployment Rate (%),Estimated Labour Participation Rate (%),Area,Estimated Employed Rate (%),Year,Month_num,Month
Goa,2019-11-30,23.71,44.09,Rural,20.380000000000003,2019.0,11.0,November
Goa,2019-12-31,3.54,38.7,Rural,35.160000000000004,2019.0,12.0,December
Goa,2020-01-31,5.38,35.36,Rural,29.98,2020.0,1.0,January
Goa,2020-02-29,0.0,36.11,Rural,36.11,2020.0,2.0,February
Goa,2020-04-30,15.91,45.36,Rural,29.45,2020.0,4.0,April
Goa,2020-05-31,20.0,33.71,Rural,13.71,2020.0,5.0,May
Gujarat,2019-05-31,2.88,52.03,Rural,49.15,2019.0,5.0,May
Gujarat,2019-06-30,4.77,50.12,Rural,45.349999999999994,2019.0,6.0,June
Gujarat,2019-07-31,4.58,54.21,Rural,49.63,2019.0,7.0,July
Gujarat,2019-08-31,3.7,50.57,Rural,46.87,2019.0,8.0,August
Gujarat,2019-09-30,6.29,51.01,Rural,44.72,2019.0,9.0,September
Gujarat,2019-10-31,4.91,52.27,Rural,47.36,2019.0,10.0,October
Gujarat,2019-11-30,4.68,54.55,Rural,49.87,2019.0,11.0,November
Gujarat,2019-12-31,3.46,51.51,Rural,48.05,2019.0,12.0,December
Gujarat,2020-01-31,5.35,54.07,Rural,48.72,2020.0,1.0,January
Gujarat,2020-02-29,6.64,53.48,Rural,46.839999999999996,2020.0,2.0,February
Gujarat,2020-03-31,7.59,52.06,Rural,44.47,2020.0,3.0,March
Gujarat,2020-04-30,12.0,34.77,Rural,22.770000000000003,2020.0,4.0,April
Gujarat,2020-05-31,14.58,46.31,Rural,31.730000000000004,2020.0,5.0,May
Gujarat,2020-06-30,1.41,47.72,Rural,46.31,2020.0,6.0,June
Haryana,2019-05-31,14.54,45.12,Rural,30.58,2019.0,5.0,May
Haryana,2019-06-30,23.08,45.23,Rural,22.15,2019.0,6.0,June
Haryana,2019-07-31,16.22,42.17,Rural,25.950000000000003,2019.0,7.0,July
Haryana,2019-08-31,30.94,48.23,Rural,17.289999999999996,2019.0,8.0,August
Haryana,2019-09-30,16.36,44.72,Rural,28.36,2019.0,9.0,September
Haryana,2019-10-31,24.17,46.07,Rural,21.9,2019.0,10.0,October
Haryana,2019-11-30,16.59,42.48,Rural,25.889999999999997,2019.0,11.0,November
Haryana,2019-12-31,29.56,47.4,Rural,17.84,2019.0,12.0,December
Haryana,2020-01-31,16.21,43.74,Rural,27.53,2020.0,1.0,January
Haryana,2020-02-29,27.19,45.37,Rural,18.179999999999996,2020.0,2.0,February
Haryana,2020-03-31,23.92,41.4,Rural,17.479999999999997,2020.0,3.0,March
Haryana,2020-04-30,41.61,49.85,Rural,8.240000000000002,2020.0,4.0,April
Haryana,2020-05-31,34.22,42.78,Rural,8.560000000000002,2020.0,5.0,May
Haryana,2020-06-30,35.57,48.53,Rural,12.96,2020.0,6.0,June
Himachal Pradesh,2019-05-31,13.68,44.23,Rural,30.549999999999997,2019.0,5.0,May
Himachal Pradesh,2019-06-30,11.43,41.18,Rural,29.75,2019.0,6.0,June
Himachal Pradesh,2019-07-31,20.59,44.91,Rural,24.319999999999997,2019.0,7.0,July
Himachal Pradesh,2019-08-31,18.56,44.91,Rural,26.349999999999998,2019.0,8.0,August
Himachal Pradesh,2019-09-30,15.98,45.02,Rural,29.040000000000003,2019.0,9.0,September
Himachal Pradesh,2019-10-31,15.81,42.81,Rural,27.0,2019.0,10.0,October
Himachal Pradesh,2019-11-30,22.86,48.5,Rural,25.64,2019.0,11.0,November
Himachal Pradesh,2019-12-31,19.46,44.05,Rural,24.589999999999996,2019.0,12.0,December
Himachal Pradesh,2020-01-31,16.67,45.11,Rural,28.439999999999998,2020.0,1.0,January
Himachal Pradesh,2020-02-29,15.42,42.45,Rural,27.03,2020.0,2.0,February
Himachal Pradesh,2020-03-31,17.71,40.17,Rural,22.46,2020.0,3.0,March
Himachal Pradesh,2020-04-30,2.13,18.43,Rural,16.3,2020.0,4.0,April
Himachal Pradesh,2020-05-31,25.64,42.62,Rural,16.979999999999997,2020.0,5.0,May
Himachal Pradesh,2020-06-30,1.12,41.2,Rural,40.080000000000005,2020.0,6.0,June
Jammu & Kashmir,2019-05-31,12.78,40.57,Rural,27.79,2019.0,5.0,May
Jammu & Kashmir,2019-06-30,12.09,39.02,Rural,26.930000000000003,2019.0,6.0,June
Jammu & Kashmir,2019-07-31,13.67,41.71,Rural,28.04,2019.0,7.0,July
Jammu & Kashmir,2019-08-31,11.32,44.17,Rural,32.85,2019.0,8.0,August
Jammu & Kashmir,2019-10-31,19.27,43.08,Rural,23.81,2019.0,10.0,October
Jammu & Kashmir,2019-11-30,14.73,39.69,Rural,24.959999999999997,2019.0,11.0,November
Jammu & Kashmir,2020-01-31,22.19,42.56,Rural,20.37,2020.0,1.0,January
Jammu & Kashmir,2020-02-29,21.23,38.25,Rural,17.02,2020.0,2.0,February
Jammu & Kashmir,2020-03-31,16.0,39.06,Rural,23.060000000000002,2020.0,3.0,March
Jammu & Kashmir,2020-05-31,2.22,38.46,Rural,36.24,2020.0,5.0,May
Jammu & Kashmir,2020-06-30,18.97,34.94,Rural,15.969999999999999,2020.0,6.0,June
Jharkhand,2019-05-31,7.11,39.04,Rural,31.93,2019.0,5.0,May
Jharkhand,2019-06-30,8.46,41.12,Rural,32.66,2019.0,6.0,June
Jharkhand,2019-07-31,9.98,39.66,Rural,29.679999999999996,2019.0,7.0,July
Jharkhand,2019-08-31,12.06,40.83,Rural,28.769999999999996,2019.0,8.0,August
Jharkhand,2019-09-30,7.12,41.24,Rural,34.120000000000005,2019.0,9.0,September
Jharkhand,2019-10-31,6.57,42.33,Rural,35.76,2019.0,10.0,October
Jharkhand,2019-11-30,8.07,40.26,Rural,32.19,2019.0,11.0,November
Jharkhand,2019-12-31,15.15,41.09,Rural,25.940000000000005,2019.0,12.0,December
Jharkhand,2020-01-31,6.16,42.43,Rural,36.269999999999996,2020.0,1.0,January
Jharkhand,2020-02-29,9.06,44.05,Rural,34.989999999999995,2020.0,2.0,February
Jharkhand,2020-03-31,5.01,37.96,Rural,32.95,2020.0,3.0,March
Jharkhand,2020-04-30,41.72,36.92,Rural,-4.799999999999997,2020.0,4.0,April
Jharkhand,2020-05-31,55.1,37.03,Rural,-18.07,2020.0,5.0,May
Jharkhand,2020-06-30,21.53,40.65,Rural,19.119999999999997,2020.0,6.0,June
Karnataka,2019-05-31,5.46,46.36,Rural,40.9,2019.0,5.0,May
Karnataka,2019-06-30,5.98,43.12,Rural,37.14,2019.0,6.0,June
Karnataka,2019-07-31,0.52,38.42,Rural,37.9,2019.0,7.0,July
Karnataka,2019-08-31,0.37,39.93,Rural,39.56,2019.0,8.0,August
Karnataka,2019-09-30,3.2,44.45,Rural,41.25,2019.0,9.0,September
Karnataka,2019-10-31,7.13,43.1,Rural,35.97,2019.0,10.0,October
Karnataka,2019-11-30,1.19,36.45,Rural,35.260000000000005,2019.0,11.0,November
Karnataka,2019-12-31,0.41,39.92,Rural,39.510000000000005,2019.0,12.0,December
Karnataka,2020-01-31,2.57,44.52,Rural,41.95,2020.0,1.0,January
Karnataka,2020-02-29,4.11,41.33,Rural,37.22,2020.0,2.0,February
